gene,n_significant_variants,median_odds_ratio,median_mdr_freq,median_susc_freq,n_enriched_MDR,is_compensatory,is_primary_DR
Rv0226c,8,0.04095,0.001148,0.0258355,1,0,0
Rv0504c,8,0.0241,0.000574,0.023303,0,0,0
recB,8,0.9343,0.011481,0.021277,4,0,0
cysH,8,0.0,0.0,0.021277,0,0,0
Rv3438,8,0.0,0.0,0.023303,0,0,0
tatA,8,0.0,0.0,0.0238095,0,0,0
cobB,8,0.0,0.0,0.025329,1,0,0
cobL,8,0.0495,0.001148,0.0238095,1,0,0
acpM,8,0.04855,0.001148,0.027861999999999998,0,0,0
proZ,8,0.0,0.0,0.023303,1,0,0
Rv1903,8,0.0529,0.001148,0.0217835,0,0,0
Rv0163,8,0.0,0.0,0.0227965,0,0,0
cdd,8,0.0241,0.000574,0.02229,0,0,0
Rv1730c,8,1.8874499999999999,0.068886,0.087133,5,0,0
atsB,8,4.5629,0.054535,0.013171,6,0,0
PE1,8,6.17195,0.040758,0.045086,5,0,0
lipQ,8,0.0556,0.001148,0.020263,2,0,0
PE_PGRS15,8,2.46825,0.1354765,0.0385005,7,0,0
lppD,8,0.0529,0.001148,0.021277,2,0,0
kdpA,8,0.0493,0.001148,0.023303,0,0,0
Rv0759c,7,0.0,0.0,0.026342,0,0,0
Rv2079,7,0.1525,0.005741,0.036474,3,0,0
otsB2,7,0.0,0.0,0.02229,0,0,0
Rv0877,7,0.0,0.0,0.02229,0,0,0
ispD,7,0.0442,0.001148,0.023303,0,0,0
rpmD,7,0.0556,0.001148,0.02229,0,0,0
lpqA,7,0.0,0.0,0.021277,1,0,0
atsD,7,1.3811,0.039036,0.047619,4,0,0
Rv2434c,7,0.0,0.0,0.024316,0,0,0
Rv0991c,7,0.0,0.0,0.027356,1,0,0
Rv0988,7,3.696,0.057405,0.016211,4,0,0
PE_PGRS47,7,4.5629,0.099885,0.01925,6,0,0
Rv0201c,7,0.0,0.0,0.023303,0,0,0
Rv0381c,7,0.0529,0.001148,0.02229,1,0,0
Rv1062,7,0.0,0.0,0.024316,0,0,0
cdsA,7,0.0,0.0,0.026342,2,0,0
Rv0146,7,0.0,0.0,0.02229,1,0,0
Rv3822,7,1.4463,0.057405,0.058764,4,0,0
Rv3798,7,3.3569,0.051665,0.015198,7,0,0
rpfE,7,0.0,0.0,0.027356,2,0,0
Rv3434c,7,0.0529,0.001148,0.021277,0,0,0
arsB1,7,0.0,0.0,0.020263,1,0,0
Rv2169c,7,0.071,0.002296,0.02229,1,0,0
mog,7,0.0504,0.001148,0.02229,0,0,0
cobK,7,0.0,0.0,0.023303,1,0,0
PPE39,7,2.0473,0.049369,0.025329,6,0,0
ppsC,7,6.9215,0.183697,0.032421,6,0,0
PPE12,7,3.696,0.039036,0.016211,4,0,0
PPE13,7,1.3364,0.053961,0.038501,5,0,0
Rv1111c,7,0.0556,0.001148,0.02229,1,0,0
vapC25,7,2.5805,0.033295,0.01925,5,0,0
Rv1152,7,0.0,0.0,0.021277,1,0,0
Rv1075c,7,0.0,0.0,0.025329,1,0,0
ackA,7,0.0,0.0,0.025329,0,0,0
Rv2898c,7,0.0504,0.001148,0.021277,0,0,0
Rv2209,7,0.0482,0.001148,0.026342,1,0,0
Rv1875,7,0.0,0.0,0.02229,0,0,0
Rv0812,7,0.0,0.0,0.023303,1,0,0
