feature,importance,rank
feature_2236,0.009611113578204378,161
feature_1026,0.009610066059488779,162
feature_3388,0.009596703536823318,163
feature_1728,0.009579441346394737,164
feature_0393,0.009542423820057678,165
feature_3332,0.00942527776303795,166
feature_1720,0.009404286713446723,167
feature_4284,0.009359752387778223,168
feature_4784,0.00935014812176041,169
feature_0422,0.009349421166058497,170
feature_0394,0.009328705308756308,171
feature_1029,0.00929877187681832,172
feature_4446,0.009268383407951216,173
feature_0392,0.009213745285326638,174
feature_3604,0.00920973330194749,175
feature_2007,0.009190101005005787,176
feature_3868,0.009167346455866556,177
feature_4425,0.009138114755115919,178
feature_1801,0.009037941195436975,179
feature_4379,0.008917124225701283,180
feature_3184,0.00885834596103813,181
feature_0477,0.008853469524987594,182
feature_1005,0.0088520306132527,183
feature_3068,0.008851011835094822,184
feature_3473,0.00884092308213675,185
feature_0150,0.008790583669112695,186
feature_0591,0.008741149038677797,187
feature_1752,0.008685935862885422,188
feature_1647,0.00867242617706719,189
feature_3671,0.008590785473974367,190
feature_3229,0.008574526285649633,191
feature_1011,0.008502597393633671,192
feature_0148,0.00838892864460646,193
feature_3185,0.008384920179335413,194
feature_2809,0.00836266468446463,195
feature_4141,0.008359082240590726,196
feature_3467,0.008349475398442262,197
feature_4421,0.00833822065458013,198
feature_3250,0.008317714714229858,199
feature_3865,0.00822511945130584,200
feature_0460,0.008218953011769245,201
feature_1033,0.008198986017634278,202
feature_1735,0.008179537851733816,203
feature_1585,0.008156129379281705,204
feature_4409,0.008032529052921181,205
feature_0155,0.008032491829605415,206
feature_0424,0.008015631437721963,207
feature_2682,0.008001867538185404,208
feature_1020,0.00799960950388901,209
feature_0978,0.007994968710480542,210
feature_3515,0.007971618904324249,211
feature_3129,0.007971045243811559,212
feature_4402,0.007969098582888383,213
feature_1397,0.00792701554873385,214
feature_1396,0.007917104645442569,215
feature_1750,0.007904553098827467,216
feature_0458,0.0078925570622739,217
feature_0483,0.007856894890227301,218
feature_4424,0.00784914363885467,219
feature_1007,0.007837766840049228,220
feature_1726,0.007824299265613928,221
feature_3864,0.007812627243820765,222
feature_3870,0.007808967389705635,223
feature_1579,0.007802363335290701,224
feature_2978,0.007756687454114633,225
feature_0492,0.00774658690081901,226
feature_0401,0.007741575514496972,227
feature_1948,0.007726258847858429,228
feature_3415,0.007681604545457819,229
feature_0366,0.007681267364988928,230
feature_4068,0.007661664884631794,231
feature_4069,0.007633915733856973,232
feature_0457,0.007553897868797666,233
feature_4265,0.007551100551105418,234
feature_1577,0.007504344043651057,235
feature_1015,0.007483787490313725,236
feature_4500,0.00744880376809891,237
feature_4775,0.007397367152657083,238
feature_2124,0.007325962502508078,239
feature_4371,0.007323241181598682,240
feature_0437,0.007311208881787469,241
feature_1816,0.007280230281373386,242
feature_4071,0.007279451386336828,243
feature_0438,0.007270423388300609,244
feature_0462,0.007239347056686945,245
feature_4099,0.00721376278314637,246
feature_1947,0.007188110369372269,247
feature_3861,0.0071730899575839615,248
feature_3294,0.007167696169687938,249
feature_1394,0.007129316343846327,250
feature_3943,0.007103788493168899,251
feature_4794,0.007082624774410416,252
feature_3620,0.007078225079109482,253
feature_0482,0.007063521815991064,254
feature_0472,0.007019914627879511,255
feature_2146,0.0070109694127371055,256
feature_3523,0.006992853813146959,257
feature_2032,0.006989080255763726,258
feature_1021,0.006987741896752692,259
feature_1017,0.006966039370375334,260
feature_0144,0.006940220929713257,261
feature_1019,0.0069173532075144555,262
feature_4701,0.006916483651476318,263
feature_2703,0.0069086960744170894,264
feature_4108,0.006903468693721806,265
feature_4151,0.006900788053040296,266
feature_1703,0.00688973708685005,267
feature_1250,0.006882363259770073,268
feature_3499,0.006869823434916017,269
feature_3350,0.006868172713881916,270
feature_0781,0.006850435355304264,271
feature_1032,0.006839555959188483,272
feature_0170,0.006827821689544745,273
feature_1009,0.006777766197768638,274
feature_1014,0.006775066744091022,275
feature_2971,0.006769308240212594,276
feature_1220,0.006765275251758589,277
feature_1576,0.006752332756437173,278
feature_1663,0.006728681899871522,279
feature_1962,0.006723131574817977,280
feature_4406,0.006715584575475902,281
feature_0365,0.006705182381990197,282
feature_1398,0.006696672879609168,283
feature_1515,0.00668476499583649,284
feature_4609,0.00667566291920946,285
feature_0186,0.006662899411435291,286
feature_4700,0.006662626147646122,287
feature_3180,0.006658616349268583,288
feature_2036,0.006651816633358226,289
feature_1773,0.006640293885551575,290
feature_1496,0.0066352914172130035,291
feature_0749,0.00663513699784986,292
feature_0145,0.006631143456102809,293
feature_4682,0.0066256468963663,294
feature_4026,0.006619439220731434,295
feature_4350,0.006617951083999724,296
feature_2891,0.006616597975304144,297
feature_4778,0.00658414978124768,298
feature_0178,0.006582079746284014,299
feature_3807,0.00658046630561147,300
feature_4434,0.006576943355318504,301
feature_2362,0.006574915877441895,302
feature_0275,0.006570577438052007,303
feature_1630,0.0065684542911167085,304
feature_0526,0.006568327699724752,305
feature_0746,0.006563830666569397,306
feature_2037,0.006563532235169035,307
feature_2184,0.006559506628469798,308
feature_1676,0.00655521770275704,309
feature_2412,0.006555148126114502,310
feature_4975,0.006552688256826729,311
feature_2194,0.006548807495943647,312
feature_1520,0.00654058421862747,313
feature_0994,0.00653810421514218,314
feature_4931,0.006535899774086526,315
feature_3544,0.0065310485470670785,316
feature_1775,0.006523278078938224,317
feature_0113,0.006523250564637548,318
feature_4569,0.006523027404265573,319
feature_0167,0.0065207529746043906,320
feature_3766,0.00651562991296548,321
feature_4747,0.006513628541545209,322
feature_2101,0.006511306742609366,323
feature_4721,0.006509786805836278,324
feature_1653,0.006506233470122911,325
feature_0983,0.006502998264897922,326
feature_2110,0.006502855071532185,327
